Total Monthly Consumption Oct. 2020,Total Monthly Consumption Jan. 2021,Control Group,First Moment Treatment,Second Moment Europe Treatment,First & Second Moment Treatment,Second Moment Domestic Treatment,Europe Mean Growth Expectation Prior,Europe Uncertainty in Growth Expectation Prior,Log Net Household Income Sep. 2020,Belgian,Danish,Spanish,French,Italian,Dutch,Household Size,Male,High-School Educated,Post-Secondary Educated,Age,Sufficient Liquidity,LiquidAssets
1082,1310,1,0,0,0,0,-0.564386738,-0.305181908,-0.551505618,1,0,0,0,0,0,3,1,0,1,0.4558881788674447,1,1
3650,3250,1,0,0,0,0,1.5048341253823796,-0.406653639,0.4886335461313594,1,0,0,0,0,0,3,0,1,0,-0.427716439,1,1
2680,2215,1,0,0,0,0,-0.061062744,-0.000766665,0.9436929751374252,1,0,0,0,0,0,4,1,0,1,0.4558881788674447,1,0.78941595
3415,3741,0,0,0,1,0,-0.50846185,-0.812540662,1.0011859066024529,1,0,0,0,0,0,2,1,0,1,0.4558881788674447,1,0.385361547
3135,3350,1,0,0,0,0,-1.067710732,-0.406653639,0.5644947829915141,1,0,0,0,0,0,3,0,0,1,-1.164053621,1,0.53077686
2000,1385,1,0,0,0,0,0.1626368084609512,-0.812540662,-0.034985183,1,0,0,0,0,0,1,0,0,1,-1.384954775,1,0.29327756
1289,1784,1,0,0,0,0,3.182580771534165,0.8110073815623846,0.2748779911403645,1,0,0,0,0,0,3,0,0,1,-0.133181566,1,0.940582178
2204,2307,0,0,0,1,0,-0.620311626,2.0286685014326897,-4.61E-05,1,0,0,0,0,0,2,0,1,0,-0.427716439,1,0.46702743
1255,1138,0,0,1,0,0,-0.452536962,-0.914012418,-2.858996555,1,0,0,0,0,0,1,1,0,0,0.087719588,0,0.068445474
962,1850,0,0,0,1,0,-0.116987633,-0.711068901,-0.327626872,1,0,0,0,0,0,2,0,1,0,-1.164053621,0,0.7102511499999999
2610,1501,0,1,0,0,0,-0.899936067,-0.50812542,0.2123378436236521,1,0,0,0,0,0,2,0,0,1,-0.427716439,1,1.00000003
